"Date","Price","Open","High","Low","Vol.","Change %"
"10/25/2020","55.73","59.27","60.57","52.28","74.81M","-5.96%"
"10/18/2020","59.26","46.95","59.61","46.45","93.69M","26.18%"
"10/11/2020","46.97","48.89","51.52","45.62","77.80M","-3.87%"
"10/04/2020","48.86","45.49","50.55","45.01","83.98M","7.34%"
"09/27/2020","45.52","46.02","48.48","43.30","87.41M","-1.15%"
"09/20/2020","46.05","48.49","48.53","41.93","70.74M","-5.04%"
"09/13/2020","48.49","50.83","51.02","47.00","69.38M","-4.59%"
"09/06/2020","50.83","47.81","51.31","45.26","95.46M","6.31%"
"08/30/2020","47.81","56.95","64.27","45.56","106.13M","-16.05%"
"08/23/2020","56.95","60.23","62.99","54.05","91.07M","-5.44%"
"08/16/2020","60.23","59.82","68.88","57.79","125.04M","0.60%"
"08/09/2020","59.87","58.44","60.59","51.73","89.87M","2.43%"
"08/02/2020","58.45","61.64","65.10","52.58","85.70M","-5.18%"
"07/26/2020","61.64","49.15","62.22","47.00","108.04M","25.40%"
"07/19/2020","49.15","42.47","49.50","41.49","52.95M","15.74%"
"07/12/2020","42.47","44.70","45.59","40.97","101.27M","-4.99%"
"07/05/2020","44.70","42.08","45.87","40.81","71.83M","6.23%"
"06/28/2020","42.08","41.08","42.24","40.39","46.57M","2.43%"
"06/21/2020","41.08","43.59","44.65","39.32","54.52M","-5.76%"
"06/14/2020","43.59","45.11","45.12","41.86","54.49M","-3.36%"
"06/07/2020","45.10","46.80","47.05","42.16","70.41M","-3.61%"
"05/31/2020","46.79","47.73","49.93","44.75","87.29M","-1.99%"
"05/24/2020","47.75","43.87","48.01","41.83","63.62M","8.82%"
"05/17/2020","43.87","43.26","46.50","41.73","86.44M","1.41%"
"05/10/2020","43.26","47.02","47.02","39.57","93.70M","-7.99%"
"05/03/2020","47.02","49.21","49.93","44.55","79.59M","-4.46%"
"04/26/2020","49.21","44.38","50.80","43.24","114.16M","10.78%"
"04/19/2020","44.42","44.14","45.58","39.64","131.37M","0.65%"
