"Date","Price","Open","High","Low","Vol.","Change %"
"06/30/2021","144.15","143.66","146.84","136.25","11.42M","0.34%"
"06/29/2021","143.66","137.68","149.13","137.28","897.75K","4.43%"
"06/28/2021","137.57","132.56","139.49","130.01","14.53M","3.84%"
"06/27/2021","132.48","126.82","132.62","124.71","14.12M","4.47%"
"06/26/2021","126.81","125.17","129.36","118.78","12.97M","1.28%"
"06/25/2021","125.21","134.55","138.38","124.37","14.51M","-6.94%"
"06/24/2021","134.55","128.97","137.14","123.75","14.14M","4.33%"
"06/23/2021","128.97","119.66","133.60","115.59","13.81M","7.87%"
"06/22/2021","119.56","124.52","132.88","105.12","16.18M","-4.16%"
"06/21/2021","124.74","154.86","155.42","124.07","15.67M","-19.42%"
"06/20/2021","154.80","152.60","156.11","143.83","15.35M","1.46%"
"06/19/2021","152.57","156.01","160.70","152.47","15.19M","-2.20%"
"06/18/2021","156.00","167.15","167.32","151.67","510.79K","-6.60%"
"06/17/2021","167.02","166.56","173.37","163.00","16.68M","0.28%"
"06/16/2021","166.56","175.11","177.19","164.62","18.48M","-4.95%"
"06/15/2021","175.22","179.86","181.11","172.33","20.00M","-2.60%"
"06/14/2021","179.89","170.89","179.99","166.41","19.32M","5.30%"
"06/13/2021","170.84","161.70","171.58","156.62","18.04M","5.70%"
"06/12/2021","161.63","162.85","164.20","154.25","18.43M","-0.74%"
"06/11/2021","162.83","168.02","173.75","160.62","16.76M","-3.09%"
"06/10/2021","168.02","172.47","174.27","162.26","23.17M","-2.51%"
"06/09/2021","172.36","160.65","173.05","152.49","26.91M","7.30%"
"06/08/2021","160.63","161.95","164.33","145.86","2.82M","-0.81%"
"06/07/2021","161.94","176.32","182.21","160.37","29.15M","-8.14%"
"06/06/2021","176.29","172.99","179.83","172.36","29.28M","1.91%"
"06/05/2021","172.99","178.61","185.40","167.80","29.03M","-3.15%"
"06/04/2021","178.61","192.95","193.74","169.49","28.10M","-7.43%"
"06/03/2021","192.95","187.21","197.60","182.24","1.08M","3.06%"
"06/02/2021","187.22","182.93","191.27","178.43","30.57M","2.35%"
"06/01/2021","182.93","188.06","193.12","176.02","27.63M","-2.78%"
"05/31/2021","188.17","170.47","188.36","163.67","27.31M","10.36%"
"05/30/2021","170.50","163.89","180.81","155.27","26.06M","4.28%"
"05/29/2021","163.50","177.33","188.46","157.84","26.59M","-7.78%"
"05/28/2021","177.30","193.63","198.77","165.64","24.24M","-8.26%"
"05/27/2021","193.26","198.90","208.58","180.56","29.85M","-2.78%"
"05/26/2021","198.79","183.81","203.90","179.82","28.17M","8.15%"
"05/25/2021","183.80","184.12","194.32","167.72","28.10M","-0.22%"
"05/24/2021","184.21","142.55","184.32","139.76","4.19M","29.23%"
"05/23/2021","142.55","169.43","176.24","118.47","35.86M","-15.86%"
